20:59:46;3368;8142,42
21:00:06;3369;8144,83
21:00:27;3321;8028,79
21:00:47;3370;8147,25
21:01:07;3366;8137,58
21:01:27;3365;8135,17
21:01:47;3368;8142,42
21:02:07;3366;8137,58
21:02:27;3365;8135,17
21:02:47;3365;8135,17
21:03:07;3364;8132,75
21:03:27;3364;8132,75
21:03:47;3363;8130,33
21:04:07;3365;8135,17
21:04:27;3364;8132,75
21:04:47;3364;8132,75
21:05:07;3362;8127,91
21:05:27;3361;8125,49
21:05:47;3366;8137,58
21:06:07;3364;8132,75
21:06:27;3358;8118,24
21:06:47;3363;8130,33
21:07:07;3360;8123,08
21:07:27;3359;8120,66
21:07:47;3361;8125,49
21:08:07;3360;8123,08
21:08:27;3358;8118,24
21:08:47;3359;8120,66
21:09:07;3357;8115,82
21:09:27;3355;8110,99
21:09:47;3355;8110,99
21:10:07;3354;8108,57
21:10:27;3356;8113,41
21:10:47;3355;8110,99
21:11:07;3355;8110,99
21:11:27;3353;8106,15
21:11:47;3356;8113,41
21:12:07;3354;8108,57
21:12:27;3355;8110,99
21:12:47;3353;8106,15
21:13:07;3352;8103,74
21:13:27;3352;8103,74
21:13:47;3353;8106,15
21:14:07;3351;8101,32
21:14:27;3352;8103,74
21:14:47;3350;8098,90
21:15:07;3350;8098,90
21:15:27;3352;8103,74
21:15:47;3348;8094,07
21:16:07;3347;8091,65
21:16:27;3349;8096,48
21:16:47;3348;8094,07
21:17:07;3348;8094,07
21:17:27;3344;8084,40
21:17:47;3347;8091,65
21:18:07;3349;8096,48
21:18:27;3347;8091,65
21:18:47;3345;8086,81
21:19:07;3348;8094,07
21:19:27;3344;8084,40
21:19:47;3346;8089,23
21:20:07;3346;8089,23
21:20:27;3344;8084,40
21:20:47;3345;8086,81
21:21:07;3343;8081,98
21:21:27;3343;8081,98
21:21:47;3343;8081,98
21:22:07;3343;8081,98
21:22:27;3343;8081,98
21:22:47;3341;8077,14
21:23:07;3340;8074,73
21:23:27;3342;8079,56
21:23:47;3341;8077,14
21:24:07;3340;8074,73
21:24:27;3340;8074,73
21:24:47;3339;8072,31
21:25:07;3340;8074,73
21:25:27;3340;8074,73
21:25:47;3342;8079,56
21:26:07;3340;8074,73
21:26:27;3339;8072,31
21:26:47;3338;8069,89
21:27:07;3337;8067,47
21:27:27;3334;8060,22
21:27:47;3337;8067,47
21:28:07;3335;8062,64
21:28:27;3337;8067,47
21:28:47;3336;8065,06
21:29:07;3338;8069,89
21:29:26;3335;8062,64
21:29:46;3335;8062,64
21:30:06;3335;8062,64
21:30:26;3335;8062,64
21:30:46;3334;8060,22
21:31:06;3326;8040,88
21:31:26;3333;8057,80
21:31:46;3331;8052,97
21:32:06;3332;8055,38
21:32:26;3330;8050,55
21:32:46;3329;8048,13
21:33:06;3329;8048,13
21:33:26;3332;8055,38
21:33:46;3327;8043,30
21:34:06;3331;8052,97
21:34:26;3328;8045,71
21:34:46;3331;8052,97
21:35:06;3327;8043,30
21:35:26;3327;8043,30
21:35:46;3333;8057,80
21:36:06;3325;8038,46
21:36:26;3324;8036,04
21:36:46;3324;8036,04
21:37:06;3325;8038,46
21:37:26;3324;8036,04
21:37:46;3325;8038,46
21:38:06;3326;8040,88
21:38:26;3326;8040,88
21:38:46;3324;8036,04
21:39:06;3326;8040,88
21:39:26;3324;8036,04
21:39:46;3325;8038,46
21:40:06;3320;8026,37
21:40:26;3322;8031,21
21:40:46;3322;8031,21
21:41:06;3322;8031,21
21:41:26;3323;8033,63
21:41:46;3321;8028,79
21:42:06;3320;8026,37
21:42:26;3320;8026,37
21:42:46;3320;8026,37
21:43:06;3320;8026,37
21:43:26;3321;8028,79
21:43:46;3319;8023,96
21:44:06;3319;8023,96
21:44:26;3318;8021,54
21:44:46;3319;8023,96
21:45:06;3320;8026,37
21:45:26;3317;8019,12
21:45:46;3319;8023,96
21:46:06;3318;8021,54
21:46:26;3318;8021,54
21:46:46;3319;8023,96
21:47:06;3319;8023,96
21:47:26;3315;8014,29
21:47:46;3317;8019,12
21:48:06;3317;8019,12
21:48:26;3319;8023,96
21:48:46;3317;8019,12
21:49:06;3319;8023,96
21:49:26;3317;8019,12
21:49:46;3316;8016,70
21:50:06;3315;8014,29
21:50:26;3316;8016,70
21:50:46;3314;8011,87
21:51:06;3313;8009,45
21:51:26;3315;8014,29
21:51:46;3315;8014,29
21:52:06;3314;8011,87
21:52:26;3313;8009,45
21:52:46;3313;8009,45
21:53:06;3315;8014,29
21:53:26;3311;8004,62
21:53:46;3311;8004,62
21:54:06;3312;8007,03
21:54:26;3312;8007,03
21:54:46;3312;8007,03
21:55:06;3312;8007,03
21:55:26;3314;8011,87
21:55:46;3311;8004,62
21:56:06;3311;8004,62
21:56:26;3312;8007,03
21:56:46;3309;7999,78
21:57:06;3310;8002,20
21:57:26;3308;7997,36
21:57:47;3308;7997,36
21:58:07;3307;7994,94
21:58:27;3308;7997,36
21:58:47;3308;7997,36
21:59:07;3307;7994,94
21:59:27;3309;7999,78
21:59:47;3308;7997,36
22:00:07;3308;7997,36
22:00:27;3307;7994,94
22:00:47;3307;7994,94
22:01:07;3306;7992,53
22:01:27;3308;7997,36
22:01:47;3307;7994,94
22:02:07;3305;7990,11
22:02:27;3304;7987,69
22:02:47;3306;7992,53
22:03:07;3304;7987,69
22:03:27;3306;7992,53
22:03:47;3304;7987,69
22:04:07;3303;7985,27
